gene_id	gene_symbol	median_cluster1	median_cluster2	diff	p_value	fdr
C14orf72|145200	C14orf72	2.676931265875382	1.7654074441253644	0.9115238217500174	1.5372710033542238e-8	2.2222350404201988e-6
COX4NB|10328	COX4NB	8.800975203483443	8.518094458015858	0.282880745467585	1.5570928157888928e-8	2.2349251351727386e-6
DLL4|54567	DLL4	10.06499499132287	10.954588925971896	-0.8895939346490263	1.588883898470633e-8	2.2644952350175123e-6
C13orf15|28984	C13orf15	9.89898114995822	10.80035797882595	-0.9013768288677309	1.629510168915677e-8	2.306155720175907e-6
C14orf64|388011	C14orf64	6.290503495835646	6.948869459029979	-0.658365963194333	1.73991716732688e-8	2.4453085855806528e-6
SLC5A12|159963	SLC5A12	8.53220706733481	10.618348791994075	-2.0861417246592655	1.7664090214887975e-8	2.465419708751054e-6
ZNF396|252884	ZNF396	5.42982205037868	5.951951406606782	-0.5221293562281026	1.793292401549644e-8	2.4857980563398425e-6
PLEKHA2|59339	PLEKHA2	11.042272510844985	11.467834773668612	-0.4255622628236271	1.8858038555723555e-8	2.596251593814512e-6
NOS3|4846	NOS3	8.573068224151976	9.34704771959184	-0.773979495439864	1.9435176018084863e-8	2.6576290017162263e-6
DCHS1|8642	DCHS1	9.614123372077428	10.36697783572535	-0.7528544636479229	1.9730121675957634e-8	2.673403008277608e-6
A1CF|29974	A1CF	5.4437175624454035	7.1244832329265115	-1.680765670481108	1.9814727307127246e-8	2.673403008277608e-6
C18orf1|753	C18orf1	9.40119759965	10.047614726738882	-0.6464171270888812	2.013017477117988e-8	2.680229255351487e-6
GBA3|57733	GBA3	8.923613360494866	10.555959911355878	-1.632346550861012	2.0130193043454197e-8	2.680229255351487e-6
SPRY4|81848	SPRY4	10.593409782349106	11.339549410104938	-0.7461396277558325	2.0333161944747508e-8	2.689559029005229e-6
HMBS|3145	HMBS	8.426292668255567	7.823379979019051	0.6029126892365158	2.074507733104206e-8	2.7262264612053847e-6
NIPAL4|348938	NIPAL4	2.74005973647884	1.3618806270384378	1.3781791094404023	2.1729901295703138e-8	2.8222225028822216e-6
C8orf47|203111	C8orf47	6.07841548299486	7.406553676600609	-1.3281381936057493	2.175445747848733e-8	2.8222225028822216e-6
GIMAP8|155038	GIMAP8	9.391451157175636	10.296801520680184	-0.9053503635045477	2.2251537657045688e-8	2.8322454428387126e-6
GLYATL1|92292	GLYATL1	8.698015669005365	10.114419084312976	-1.4164034153076113	2.2251537657045688e-8	2.8322454428387126e-6
SYDE2|84144	SYDE2	5.813204076053305	6.520893640473423	-0.707689564420118	2.2251557733538656e-8	2.8322454428387126e-6
RAPGEF5|9771	RAPGEF5	10.0069892082428	10.666215124652533	-0.6592259164097332	2.2475216234651096e-8	2.8428339134804305e-6
CXorf36|79742	CXorf36	9.794377069052917	10.605127598303639	-0.810750529250722	2.270113811329763e-8	2.8436977858820293e-6
PTPLA|9200	PTPLA	5.106094253457839	4.142013087556414	0.9640811659014252	2.28719730506389e-8	2.8436977858820293e-6
SMARCD3|6604	SMARCD3	8.41479915969142	7.713029019106647	0.7017701405847729	2.3044076341207876e-8	2.8436977858820293e-6
