protein	median_cluster1	median_cluster2	diff	p_value	fdr
CJUN_pS73	-0.6691481145	-0.738644142	0.06949602749999995	0.020913367263967756	0.02769608097120054
ANNEXINVII	-0.763644149	-0.842309301	0.07866515200000002	0.021203772490382047	0.027892210792717326
SYK	1.5610995435	1.656996188	-0.09589664450000002	0.023495968604994047	0.03070139897719222
PKCDELTA_pS664	-0.420114688	-0.478251409	0.058136721	0.028166655639007703	0.03656069208771861
EGFR_pY1173	0.89769218	0.830587931	0.067104249	0.030786040795169747	0.03969778944640309
JNK_pT183Y185	-0.3581152695	-0.433952308	0.07583703850000001	0.03554696133690902	0.04553728380414489
S6_pS235S236	-0.816817363	-0.673602751	-0.14321461199999996	0.04117712424874512	0.05240724904385742
EGFR	0.664142733	0.750146819	-0.08600408599999998	0.05126071502228501	0.06482000093140555
ARAF_pS299	-1.043155419	-1.101392795	0.058237375999999896	0.05262274562172454	0.06611575731960262
SMAC	0.250067046	-0.075399037	0.325466083	0.0664856206636829	0.08300115700689074
CIAP	0.117150962	0.089598595	0.027552366999999994	0.07104551560407872	0.0881324117620217
X1433ZETA	1.0609464515	1.03809855	0.022847901500000045	0.07884256003552603	0.09718957086140316
GSK3ALPHABETA	0.497125255	0.547778528	-0.050653273000000054	0.08245646353509181	0.10031993467648573
RICTOR_pT1135	0.417797377	0.383230659	0.03456671800000005	0.08291357841459804	0.10031993467648573
DJ1	0.8592708585	0.810059618	0.04921124049999992	0.08291749702852391	0.10031993467648573
MSH2	-1.301399237	-1.270500265	-0.030898972000000136	0.08446938084368877	0.1015705438365828
LCK	0.6305592645	0.552307385	0.07825187950000001	0.0859650502787001	0.10273871862576353
HEREGULIN	-1.1034894524999999	-1.156009125	0.052519672500000114	0.087001200863329	0.10334688102553022
ERALPHA	-1.7878044800000001	-1.851076687	0.0632722069999998	0.12817904019050752	0.15134392697192456
P62LCKLIGAND	0.2544511475	0.17298131	0.08146983749999998	0.1465363467345471	0.17198277820342053
X4EBP1_pT37T46	0.7171223485	0.808889821	-0.09176747249999995	0.153415998619249	0.1789853317224572
ADAR1	-1.7608906115	-1.8837736235	0.12288301199999996	0.15997301930805768	0.18509156762833479
YB1_pS102	0.13895407399999998	0.108511103	0.030442970999999985	0.16053860457559652	0.18509156762833479
CD31	-0.7074046455	-0.747127529	0.03972288349999997	0.18599166675539824	0.2131834309009243
ETS1	0.863723204	0.784061767	0.07966143700000006	0.18948153006445181	0.21592081332925905
X4EBP1_pS65	0.1363882525	0.180313663	-0.04392541050000001	0.23415709098130194	0.2652878024990473
JAB1	-1.2512855900000002	-1.4455329455	0.19424735549999994	0.24152378782880873	0.27206127824394544
YAP_pS127	2.283238336	2.336950051	-0.05371171499999994	0.2655704745562703	0.29585930962293866
PARP1	1.8891710775	2.0975340664999997	-0.20836298899999983	0.2656695841512102	0.29585930962293866
ACC1	0.1179131625	0.075009184	0.042903978499999995	0.29453967031925854	0.3261569230653936
NOTCH1	-0.44288755	-0.402794298	-0.040093252000000024	0.3332966311289491	0.3670007848386181
COLLAGENVI	1.1169776535	1.152759723	-0.03578206949999996	0.3376585888346702	0.3691033118496816
ANNEXIN1	0.292328723	0.426084505	-0.133755782	0.3389724292497076	0.3691033118496816
ECADHERIN	-0.5947118115	-0.483159684	-0.11155212749999999	0.39854962357729157	0.43157859790690134
MIG6	0.365420998	0.408298584	-0.04287758600000002	0.4102917667856969	0.44185267192305816
HER2_pY1248	-0.069249797	-0.135913615	0.06666381799999999	0.4285380129953862	0.45898060408249014
PCADHERIN	-1.6079856065	-1.664069983	0.05608437650000009	0.49641203517760324	0.5287867331239687
AKT_pT308	0.41493446	0.436392414	-0.021457954	0.511368889338055	0.5417746070824799
EEF2	0.41529806449999995	0.445942695	-0.030644630500000047	0.5214693612487216	0.5495053484126313
S6_pS240S244	-0.3949766825	-0.53524185	0.1402651675	0.5722843395384396	0.5998274360937655
PEA15_pS116	0.1873736165	0.243877202	-0.05650358549999998	0.5847493532154211	0.6096323044160773
PEA15	1.069051518	0.991119359	0.07793215899999995	0.6324253536905781	0.6558485149383773
PI3KP110ALPHA	-0.820880146	-0.799341105	-0.021539041000000037	0.6620519326881209	0.6829588358256405
ACC_pS79	-0.9006669469999999	-0.87045144	-0.030215506999999975	0.9380716521651852	0.9586155938314977
PDK1	-0.5063132585000001	-0.525702261	0.019389002499999863	0.941524953775547	0.9586155938314977
YB1	-0.9317158130000001	-0.926998426	-0.004717387000000017	0.9439429061708116	0.9586155938314977
X4EBP1	0.35290629	0.32197737	0.030928920000000026	0.9536196926808385	0.9634508235332182
SMAD3	0.944895016	0.972129387	-0.027234370999999924	0.988571945879956	0.9936415456024174
ALPHACATENIN	1.9781611909999999	2.07123955	-0.09307835900000017	1	1
