patient_id	PC1	PC2	cluster
TCGA-CJ-4868	1.9204767168089494	-1.1831024155038057	2
TCGA-CJ-4869	-4.296528638009756	3.672175922670574	2
TCGA-CJ-4870	-1.445687755612484	-1.4963871284270787	2
TCGA-CJ-4871	-2.2923615046492736	0.38776670287614234	2
TCGA-CJ-4872	-1.1832678888944774	-3.182651671260091	2
TCGA-CJ-4873	-3.957009597066363	1.6313432486123842	2
TCGA-CJ-4874	0.3770892840664117	-0.519216823510051	2
TCGA-CJ-4875	1.5710800145975563	3.9534901490172336	2
TCGA-CJ-4876	-3.650893989716659	1.524078781205663	2
TCGA-CJ-4878	-2.662191342889649	-1.0391080209555748	2
TCGA-CJ-4881	-2.0976150417807227	2.86116936045088	2
TCGA-CJ-4882	3.9405918222782432	-1.0876764315384162	1
TCGA-CJ-4884	-2.611773962064934	-0.3288962434140948	2
TCGA-CJ-4885	4.6072204217221255	-3.9887044550140045	1
TCGA-CJ-4886	3.1722080591945874	-3.7199315754734052	2
TCGA-CJ-4887	-5.11316704361355	2.115131114486896	2
TCGA-CJ-4888	0.15013383109807316	-1.6222438537196062	2
TCGA-CJ-4889	3.8405454868069344	-6.652468547154822	2
TCGA-CJ-4890	3.00777982665653	-1.0578855052986424	2
TCGA-CJ-4891	1.7022967211970301	5.5651845243866	2
TCGA-CJ-4892	2.578127874126361	-1.4050318835372781	2
TCGA-CJ-4893	-0.5327548105645966	-2.837381946335211	2
TCGA-CJ-4894	-0.7118351746723263	-5.01322005444683	2
TCGA-CJ-4895	-2.5435467744274503	0.44909985741240105	2
TCGA-CJ-4897	-3.741505238326795	0.45953844710304	2
TCGA-CJ-4899	4.110593379040774	-6.239605798829967	2
TCGA-CJ-4900	1.4476640905884988	-1.0314933658111702	2
TCGA-CJ-4901	0.8592798958651	0.2695861333122233	2
TCGA-CJ-4902	3.6689333934851396	-2.674036652172884	2
TCGA-CJ-4903	-1.2043328550571766	-2.27200586252598	2
TCGA-CJ-4904	-1.006780096724033	-1.9455793899798484	2
TCGA-CJ-4905	0.15936885470321366	-7.685281404401542	2
TCGA-CJ-4907	-3.645017776549667	-0.46302776663290623	2
TCGA-CJ-4908	0.3511135616933118	-4.535349048374544	2
TCGA-CJ-4912	-3.3146423074338816	2.835040943799035	2
TCGA-CJ-4916	-1.6403725753321499	-0.48104168373288236	2
TCGA-CJ-4918	0.6574804404349991	-5.417326420359191	2
TCGA-CJ-4920	-2.6657657064201925	-1.2044961038854511	2
TCGA-CJ-4923	-1.969378691879155	-2.1455785541329364	2
TCGA-CJ-5671	2.868105523508202	-2.6036786055973025	2
TCGA-CJ-5672	-0.8650213515200403	-0.2925105968352257	2
TCGA-CJ-5675	-3.7404993313644312	3.584169658722072	2
TCGA-CJ-5676	-4.104935802343359	-2.794737546967836	2
TCGA-CJ-5677	-8.46302282067176	4.46999533249085	2
TCGA-CJ-5678	-7.861187551214058	2.48397857665841	2
TCGA-CJ-5679	-0.8276869878784561	4.316229251691374	2
TCGA-CJ-5680	-1.2726532133490125	3.3382023783127552	2
TCGA-CJ-5681	2.909653356005728	-0.8712612490328941	2
TCGA-CJ-5682	-3.0271483090688096	-0.5555909607874029	2
TCGA-CJ-5683	-2.7778144708804247	-0.89028562663390165	2
TCGA-CJ-5684	9.332578836824982	-5.184360645472775	1
TCGA-CJ-5686	-1.1458788041407593	1.2663671021904725	2
TCGA-CJ-5689	-0.6832138655956147	-0.4785533642267179	2
TCGA-CJ-6027	-5.5084836299908915	5.276108236383752	2
TCGA-CJ-6028	1.9068369340471725	3.0891843454184924	2
TCGA-CJ-6030	-3.8136679650706586	-2.4409130195316178	2
TCGA-CJ-6031	3.7169973088102393	0.752474596121518	1
TCGA-CJ-6032	-3.2193161945922526	-2.4776971069734315	2
TCGA-CJ-6033	1.4858960180992031	-0.15959549021242195	2
TCGA-CW-5580	-7.062825779029988	2.9865425785239754	2
TCGA-CW-5581	-3.0481169189328585	0.8202831684210459	2
TCGA-CW-5583	-4.758807239736642	-5.8088142160176135	2
TCGA-CW-5584	-6.182107233881747	-0.741895454946784	2
TCGA-CW-5585	-5.705869290941397	-3.7595673345869614	2
TCGA-CW-5587	-7.779735660296662	-1.2208758599152725	2
TCGA-CW-5588	-2.717670263321864	1.0905423385503694	2
TCGA-CW-5589	-4.057443641124488	-4.662350060517173	2
TCGA-CW-5590	-2.5407558854662424	-2.93646863918586	2
TCGA-CW-5591	-6.716445125030668	1.5421709710562126	2
TCGA-CW-6087	-2.295498444409244	10.689370862403772	2
TCGA-CW-6088	-2.6691712303016324	-5.283509001537431	2
TCGA-CW-6090	-1.0412857255069468	-2.5859876410791216	2
TCGA-CW-6093	-2.5614027328420232	-1.9314955023845843	2
TCGA-CW-6097	-2.0815716015455616	-1.7130884721819848	2
TCGA-CZ-4853	-3.1999262905196297	2.740638828417814	2
TCGA-CZ-4854	-0.7028239561554763	1.8506358260304208	2
TCGA-CZ-4856	1.6694445472943826	-4.924261336694165	2
TCGA-CZ-4857	-0.9124296451323594	2.791534204982228	2
TCGA-CZ-4858	2.2676367795137615	8.711873052594258	1
TCGA-CZ-4859	-0.00974104334281917	3.396593628822219	2
TCGA-CZ-4860	3.758709653577289	2.2681745378457854	1
TCGA-CZ-4861	5.265495383572598	3.1503298639883788	1
TCGA-CZ-4862	-5.252094099584869	-1.0175663017021104	2
TCGA-CZ-4863	-2.289085464843508	0.9416298640660418	2
TCGA-CZ-4864	-4.628920860631509	-1.9507251958048266	2
TCGA-CZ-4865	2.7882975249209094	-2.5529637007097294	2
TCGA-CZ-4866	-5.228907078665182	2.771184653445071	2
TCGA-CZ-5451	-4.129920123509793	1.1766900162338076	2
TCGA-CZ-5452	-7.419282081690084	3.109480165880642	2
TCGA-CZ-5453	2.5190066010583267	-1.9920632181664188	2
TCGA-CZ-5454	-0.20271709573061839	-6.176847848597007	2
